Kode Astra,Nama Barang,Kode Group,Kode Sub Group,Kode Satuan,Kode Rak,Harga Jual,Discount
06451-MA7-406,"SEAL SET, PISTON",HGP,,,,16000,15
0800B-K93-A00SP,KIT B NEW SCOOPY SPORTY,HGP,,,,308000,15
08F80-K18-SLV,COVER ENGINE SET SILVER,HGP,,,,150000,15
08M70-MJE-D01,Cylinder Inner,HGP,,,,340000,15
08M71-MJE-D01,"KIT,1KEY BODY PARTS(WAVE)",HGP,,,,170000,15
11341-K25-600,"COVER, L",HGP,,,,323000,15
14401-KCW-851,CHAIN CAM,HGP,,,,115000,15
18318-KVB-N50,PROTECTOR A MUFFLER,HGP,,,,36000,15
18355-KCJ-660,COVER MUFFLER,HGP,,,,120000,15
18420-MGZ-J00,"COLLAR, MUFFLER MOUNTING",HGP,,,,23000,15
18421-MGZ-J00,"RUBBER, MUFFLER MOUNTING",HGP,,,,16000,15
24701-KWW-621,PEDAL GEAR CHANGE,HGP,,,,45000,15
31201-KPH-881,BRUSH TERMINAL SET,HGP,,,,20000,15
37200-KZL-C31,SPEEDOMETER ASSY,HGP,,,,410000,15
41200-K15-900,SPRKT COMP FINAL DRVN 45T,HGP,,,,164000,15
41200-K56-N00,"SPROCKET COMP., FINAL DRIVEN",HGP,,,,147000,15
42600-K15-900ZA,FLANGE SUB ASSY DRVN,HGP,,,,158000,15
42601-KSP-900,HUB RR WHEEL (SH SL MT),HGP,,,,246000,15
42611-K15-900WRD,FLANGE FINAL DRVN (WN RD),HGP,,,,112000,15
42611-K45-B00ZD,"FLANGE FINAL, DRIVEN",HGP,,,,98000,15
42611-KPG-T10,FLANGE FINAL DRIVEN,HGP,,,,78000,15
42611-KSP-B00ZC,FLANGE FINAL DRVN (NI OR),HGP,,,,124000,15
42611-KWB-600,FLANGE FINAL DRIVEN,HGP,,,,92000,15
4261A-KWW-A80,FLANGE ASSY FINAL D,HGP,,,,195000,15
42625-K15-900,COLLAR B RR WHL DISTANCE,HGP,,,,23000,15
42635-KPG-910,HUB RR SUB ASSY,HGP,,,,324000,15
43000-KWW-A80ZA,PANEL ASSY RR BRK (,HGP,,,,162000,15
43000-KWW-A80ZB,PANEL ASSY RR BRK (,HGP,,,,163000,15
43100-KCJ-690,PANEL RR BRAKE,HGP,,,,100000,15
43100-KCJ-880,PANEL RR BRAKE,HGP,,,,129000,15
43100-KCJ-880ZC,PANEL RR BRAKE (BLK),HGP,,,,112000,15
43100-KCJ-980,PANEL RR BRAKE (BLK),HGP,,,,103000,15
43100-KPH-700,PANEL COMP RR BRK,HGP,,,,145000,15
43100-KPH-700ZC,PANEL COMP RR BRK (B,HGP,,,,129000,15
43100-KTM-300,CALIPER RR ASSY,HGP,,,,439000,15
43100-KWW-640ZD,PANEL RR BRAKE (SLV),HGP,,,,137000,15
43100-KWW-640ZE,PANEL RR BRAKE (GRY),HGP,,,,129000,15
43100-KYE-910,PANEL COM RR BRK NH,HGP,,,,113000,15
4310A-KTM-N30,MASTER CYL & CLPR RR ASSY SET,HGP,,,,881000,15
43111-KCJ-671,BRACKET RR,HGP,,,,71000,15
43112-KTM-751,RETAINER,HGP,,,,21000,15
43150-K15-901,CALIPER SUB ASSY RR,HGP,,,,457000,15
43150-K47-N40,"CALIPER SUB ASSY., RR.",HGP,,,,400000,15
43150-KTM-N31,CALIPER RR SUB ASSY,HGP,,,,457000,15
43190-KSP-B01,BRACKET RR SUB ASSY,HGP,,,,88000,15
43310-K15-901,HOSE COMP RR BRK,HGP,,,,112000,15
43310-K15-920,"HOSE COMP., RR. BRAKE",HGP,,,,146000,15
43310-K41-N11,HOSE COMP RR BRK,HGP,,,,123000,15
43310-KTM-751,HOSE COMP RR BRK,HGP,,,,106000,15
43310-KVL-T31,HOSE COMP RR BRK,HGP,,,,112000,15
43310-KYE-901,"HOSE COMP, RR BRAKE",HGP,,,,114000,15
43431-KEV-880,ARM RR BRAKE STOP,HGP,,,,21000,15
43500-KCJ-671,M/C ASSY RR BRAKE,HGP,,,,474000,15
43500-KTM-300,MASTER CYL RR BRAKE ASSY,HGP,,,,383000,15
43510-K45-N01,CYLINDER SUB ASSY RR BRAKE,HGP,,,,268000,15
43510-K56-N01,"CYLINDER SUB ASSY., RR. BRAKE MASTER",HGP,,,,337000,15
43510-KYE-941,"M/C SUB ASSY., RR. BRAKE",HGP,,,,323000,15
43512-K15-901,HOSE RR M/C,HGP,,,,53000,15
43512-K15-921,"HOSE, RR. MASTER CYLINDER",HGP,,,,93000,15
43512-KSP-B01,HOSE COMP RR M/C,HGP,,,,70000,15
43512-KTM-N31,HOSE M/C,HGP,,,,24000,15
43512-KYE-941,"HOSE COMP., RR. BRAKE M/C",HGP,,,,92000,15
43520-MJ6-316,M/C PISTON SET,HGP,,,,74000,15
43530-KS7-831,PUSH ROD COMP,HGP,,,,22000,15
43530-KV3-702,"ROD COMP., PUSH",HGP,,,,28000,15
43530-KYZ-911,ROD COMP PUSH,HGP,,,,27000,15
44601-K18-910ZB,"HUB FR WHEEL, NH-255M",HGP,,,,128000,15
44601-KPH-900,HUB COMP FR WHEEL,HGP,,,,157000,15
44601-KWB-600,HUB FR WHEEL,HGP,,,,156000,15
44800-KWB-600,BOX SPEEDOMETER GEAR ASSY,HGP,,,,72000,15
45100-KVB-N51,CALIPER L FR ASSY,HGP,,,,335000,15
45100-KVB-T01,CALIPER ASSY L FR,HGP,,,,342000,15
45126-K03-N31,HOSE COMP FR BRK,HGP,,,,144000,15
45126-K07-V01,"HOSE COMP, FR BRK",HGP,,,,136000,15
45126-K15-901,HOSE COMP FR BRK,HGP,,,,131000,15
45126-K16-B01,"HOSE COMP., FR. BRAKE",HGP,,,,162000,15
45126-K18-901,HOSE COMP FR BRK,HGP,,,,119000,15
45126-K25-901,HOSE COMP FR BRAKE,HGP,,,,138000,15
45126-K41-N01,HOSE COMP FR BRK,HGP,,,,141000,15
45126-K59-A11,HOSE COMP FR BRAKE,HGP,,,,151000,15
45126-KYE-901,HOSE COMP FR BRK,HGP,,,,126000,15
45126-KYT-941,HOSE COMP FR BRK,HGP,,,,134000,15
45126-KZR-601,HOSE COMP FR BRAKE,HGP,,,,116000,15
45155-K15-920,"CLAMPER A, FR. BRAKE HOSE",HGP,,,,8000,15
45155-K45-N00,"CLAMPER A, FR. BRAKE HOSE",HGP,,,,9000,15
45157-KAN-850,CLAMPER B FR BRK,HGP,,,,5000,15
45190-KVB-911,BRACKET SUB ASSY FR,HGP,,,,39000,15
45200-K15-901,CALIPER SUBASSY R FR,HGP,,,,364000,15
45250-K56-N01,"CALIPER SUB ASSY., R. FR.",HGP,,,,291000,15
45250-KYE-902,CALIPER SUB ASSY R FR,HGP,,,,311000,15
45500-KEV-650,CYLINDER FR MASTR,HGP,,,,374000,15
45500-KZR-711,CYLINDER ASSY. FR. BRAKE,HGP,,,,361000,15
4550A-KVY-720,M/C & CALIPER ASSY,HGP,,,,635000,15
4550A-KVY-960,MASTER CYL & CALIPER ASSY,HGP,,,,824000,15
4550A-KYT-940,MASTER CYL & CALIPER ASSY,HGP,,,,782000,15
4550A-KZS-900,MASTER CYL & CALIPER ASSY,HGP,,,,762000,15
45510-K03-N31,CYL SUB ASSY FR BRK,HGP,,,,311000,15
45510-K26-901,"CYLINDER SUB ASSY., FR. BRAKE",HGP,,,,370000,15
45510-K41-N01,M/C SUB ASSY FR BRK,HGP,,,,257000,15
45510-KVB-T51,MASTER CYL FR BRAKE SUB ASSY,HGP,,,,328000,15
45510-KZY-702,CYLINDER SUB ASSY FR. BRAKE,HGP,,,,283000,15
45513-K16-901,CAP MASTER CYLINDER,HGP,,,,30000,15
45513-KWN-672,"CAP, MASTER CYLINDER",HGP,,,,14000,15
45521-K21-902,"PLATE, DIAPHRAGM",HGP,,,,26000,15
46500-KGH-901,PEDAL COMP RR BRAKE,HGP,,,,64000,15
50315-K33-D00ZA,"GRIP, R. RR.",HGP,,,,98000,15
50325-K33-D00ZA,"GRIP, L. RR.",HGP,,,,98000,15
50354-KEH-900,PLATE R ENGINE,HGP,,,,8000,15
50400-K56-N00ZA,"GRIP, RR. MAT AXIS GRAY",HGP,,,,160000,15
50400-KCJ-660,GRIP R REAR,HGP,,,,84000,15
50400-KCJ-661ZC,GRIP R REAR,HGP,,,,83000,15
50400-KWW-620,RR GRAB RAIL,HGP,,,,124000,15
50450-KCJ-660,GRIP L REAR,HGP,,,,84000,15
50450-KCJ-661ZC,GRIP L REAR,HGP,,,,83000,15
50500-K18-900,"STAND COMP., MAIN",HGP,,,,95000,15
50500-K59-A10,STAND COMPMAIN PER HANGER,HGP,,,,88000,15
50500-K93-N00,"STAND COMP,MAIN",HGP,,,,95000,15
50500-KEH-900,STAND MAIN,HGP,,,,97000,15
50500-KWW-640,STAND MAIN,HGP,,,,76000,15
5050A-KZL-A00,STAND ASSY MAIN,HGP,,,,78000,15
50530-KCJ-690,BAR SIDE STAND,HGP,,,,35000,15
50530-KEV-880,BAR SIDE STAND,HGP,,,,34500,15
50530-KYE-900,BAR SIDE STAND,HGP,,,,35000,15
50605-KVR-600,HOLDER R PILLION ST,HGP,,,,168000,15
50606-K41-N00ZA,GUARD R PIVOT COVER,HGP,,,,12000,15
50610-KC5-000ZA,BAR COMP STEP,HGP,,,,73000,15
50610-KC5-920FMB,BAR COMP STEP,HGP,,,,73000,15
50610-KWW-A80,BAR COMP STEP,HGP,,,,105000,15
50642-K84-900,STEP COMP L,HGP,,,,14000,15
50645-K84-900,ARM COMP L STEP,HGP,,,,35000,15
50661-K84-900,STEP RUBBER,HGP,,,,9500,15
50700-KPH-700,STEP ASSY R PILLION,HGP,,,,204000,15
50700-KPW-900,STEP ASSY R PILLION,HGP,,,,118000,15
50701-KYE-900,BAR R MAIN STEP,HGP,,,,11000,15
50705-KPH-900,STEP ASSY L PILLION,HGP,,,,148000,15
50706-K41-N00ZA,GUARD L PIVOT COVER,HGP,,,,12000,15
50715-KPH-700,HOLDER R PILLION STEP,HGP,,,,119000,15
50715-KTL-740,HOLDER R PILLION STEP,HGP,,,,160000,15
50716-KPH-700,HOLDER L PILLION STEP,HGP,,,,114000,15
50725-K45-N00,"HOLDER, L. PILLION STEP",HGP,,,,115000,15
50801-KYE-900,BAR L MAIN STEP,HGP,,,,11000,15
52200-K84-900,SWINGARM SUB ASSY,HGP,,,,670000,15
52465-K15-900,"ARM SUB ASSY., CUSHION",HGP,,,,310000,15
52475-K15-900,"ROD SUB ASSY., CUSHION",HGP,,,,142000,15
53000-KVY-960,PIPE STRG HANDLE ASSY,HGP,,,,160000,15
53100-K16-900,PIPE COMP STRG HANDLE,HGP,,,,135000,15
53100-K25-900,"PIPE COMP., STEERING HANDLE",HGP,,,,108000,15
53100-K81-N20,PIPE COMP HNDL,HGP,,,,115000,15
53100-KCJ-760,PIPE STRG HANDLE,HGP,,,,85000,15
53100-KG2-950,PIPE STRG HANDLE (CRM),HGP,,,,83000,15
53100-KVB-930,PIPE STRG HANDLE,HGP,,,,225000,15
53100-KYE-900,PIPE STRG HANDLE,HGP,,,,75000,15
53100-KYE-940,"PIPE,STRG HANDLE",HGP,,,,80000,15
53175-KPN-E01,"LEVER, R. STEERING HANDLE",HGP,,,,41000,15
53175-KPP-T02,"LEVER, R. STEERING HANDLE",HGP,,,,41000,15
53178-K45-N00,"LEVER COMP., L. HANDLE",HGP,,,,38000,15
53214-KA4-701,"DUST SEAL, STEERING HEAD (ARAI",HGP,,,,45000,15
61104-428730,61104428010,HGP,,,,43000,15
77230-KTM-N00,SEAT LOCK COMP,HGP,,,,23000,15
84100-KPH-700,RAIL RR GRIP,HGP,,,,182000,15
84100-KPH-700ZB,RAIL RR GRIP,HGP,,,,182000,15
87505-K84-900,LABEL TIRE,HGP,,,,3500,15
89216-KYJ-900,89216MAT000,HGP,,,,130000,15
90010-GHB-670,9.60E+11,HGP,,,,18000,15
90105-K84-900,BOLT FLANGE DR 10X56,HGP,,,,8500,15
90128-K45-N00,"BOLT, STUD, 10X22",HGP,,,,7000,15
90206-250-000,"NUT, TAPPET ADJUSTING",HGP,,,,18000,15
91005-KVB-N50,"BRG,COMP DRIVE SHAFT",HGP,,,,28000,15
92101-050120A,"BOLT,HEX.,5X12",HGP,,,,4000,15
93500-060100A,"SCREW,CROSS,6X10",HGP,,,,5000,15
93901-24180,"SCREW,TAPP 4X8",HGP,,,,4000,15
94001-060900S,NUT HEX 6MM,HGP,,,,2000,15
94251-06000,"PIN,LOCK",HGP,,,,5000,15
94305-20103,"PIN SPRING, 2X10",HGP,,,,9000,15
95701-100-6507,"BOLT, FLANGE, 10X65",HGP,,,,5500,15
96001-0603507,"BOLT,FLANGE 6X35",HGP,,,,17000,15
06435-K07-901,PAD SET RR,HGP,,,,44000,15
06435-K56-N01,"PAD SET, RR.",HGP,,,,72000,15
06435-K64-N01,"PAD SET, RR.",HGP,,,,125500,15
06435-KPP-901,PAD SET RR,HGP,,,,43500,15
06435-KRE-G31,"PAD SET, RR.",HGP,,,,69000,15
06435-KSP-B01,PAD SET RR,HGP,,,,58500,15
06435-KSP-B02,PAD SET RR,HGP,,,,60500,15
06435-KWC-901,PAD SET RR,HGP,,,,50500,15
06455-K33-D52,"PAD SET, FR.",HGP,,,,361000,15
06455-K46-N21,"PAD SET, FR. BRAKE",HGP,,,,53000,15
06455-K56-N01,"PAD SET, FR. BRAKE",HGP,,,,51500,15
06455-K84-901,"PAD SET, FR. BRAKE",HGP,,,,60500,15
06455-KPP-901,PAD SET FR,HGP,,,,44500,15
06455-KPP-N01,PAD SET FR,HGP,,,,55500,15
06455-KR3-404,PAD SET FR (NA),HGP,,,,46500,15
06455-KVB-401,PAD SET FR (NA),HGP,,,,49000,15
06455-KVB-T01,PAD SET FR,HGP,,,,51500,15
06455-KVY-911,PAD SET FR,HGP,,,,46000,15
06455-KWB-601,PAD SET FR,HGP,,,,46500,15
06455-KWC-901,PAD SET FR,HGP,,,,53500,15
06455-KYE-901,PAD SET FR,HGP,,,,47000,15
11341-GN5-640,COVER L CR (BLK/M),HGP,,,,124000,15
11341-KEV-880,COVER L CRANK CASE (SLV),HGP,,,,134000,15
12361-383-000,CAP HOLE,HGP,,,,9000,15
14566-086-030,HEAD TENSIONER,HGP,,,,2000,15
15661-GN5-910,PLATE OIL SEPARATER,HGP,,,,10000,15
31500-KYJ-780,BATTERY YTX7L-BS,BATTERY,,,,550000,15
33701-K59-A71,"LIGHT ASSY, TAIL",HGP,,,,359000,15
35340-GW3-980,SWITCH FR STOP,HGP,,,,57000,15
35340-KWB-601,SWITCH FR STOP ASSY,HGP,,,,50000,15
35340-MGS-D31,SWITCH FR STOP ASSY,HGP,,,,63000,15
42601-GN5-960FMB,HUB RR WHEEL (BLK),HGP,,,,185000,15
42601-GN5-960FMS,HUB RR WHEEL (SLV),HGP,,,,175000,15
42601-K18-902,"WHEEL, REAR NH-303M",HGP,,,,760000,15
42601-K45-N00ZB,"WHEEL, RR NH-303M",HGP,,,,835000,15
42601-K45-N00ZC,"WHEEL, RR YR-271",HGP,,,,890000,15
42601-K59-A12,"WHEEL COMP,REAR NH-303M",HGP,,,,620000,15
42601-KPH-900,HUB COMP RR WHEEL,HGP,,,,194000,15
4260A-KPH-880,HUB ASSY RR WHEEL,HGP,,,,309000,15
43120-362-001,BRAKE SHOE (NA),HGP,,,,39000,15
43125-KGA-902,SHOE COMP BRAKE (NA),HGP,,,,48000,15
43125-KPH-903,SHOE COMP BRAKE (NA),HGP,,,,34000,15
43130-KZL-930,BRAKE SHOE,HGP,,,,47000,15
44601-K18-901,"WHEEL, FRONT NH-303M",HGP,,,,620000,15
44601-K45-N00ZB,"WHEEL, FR NH-303M",HGP,,,,670000,15
44601-K45-N00ZC,"WHEEL, FR YR-271",HGP,,,,735000,15
44601-K59-A11,"WHEEL,FRONT NH-303M",HGP,,,,470000,15
45105-KG2-954,PAD SET,HGP,,,,34000,15
45120-001-011,BRAKE SHOE (NA),HGP,,,,33000,15
45530-471-832,45530471831,HGP,,,,70000,15
45530-KET-920,CYLINDER SET MASTER,HGP,,,,70000,15
45530-KVY-911,CYLINDER SET MASTER,HGP,,,,70000,15
507A3-GN5-830,PILLION STEP R KIT,HGP,,,,35000,15
507A3-KRS-690,PILLION STEP R KIT,HGP,,,,33000,15
507A4-GN5-830,PILLION STEP L KIT,HGP,,,,34000,15
507A4-KRS-690,PILLION STEP L KIT,HGP,,,,33000,15
51454-K45-N41,"SEAT, SPRING UPPER",HGP,,,,24000,15
53175-KET-920,LEVER R HANDLE,HGP,,,,64000,15
53175-KRS-T80,LEVER R STRG HDL,HGP,,,,38000,15
53175-KSP-B51,LEVER R STRG HNDL,HGP,,,,33000,15
53175-KVB-921,LEVER R STRG HDL,HGP,,,,64000,15
53175-KVB-930,LEVER R STRG HANDLE,HGP,,,,76000,15
53175-KVG-A21,LEVER R STRG HDL,HGP,,,,49000,15
53175-KYZ-900,LEVER R STEERING HANDLE,HGP,,,,44000,15
53178-KVB-900,LEVER L STRG HDL,HGP,,,,26000,15
53178-KVB-930,LEVER L STRG HDL,HGP,,,,41000,15
53178-KYE-900,"LEVER COMP,L HNDL",HGP,,,,32000,15
90105-KGH-900,BOLT BRK DISK 8X24,HGP,,,,2500,15
94103-05700,WASHER PLAIN 5MM,HGP,,,,500,15
94103-067-00,"WASHER, PLAIN, 6MM",HGP,,,,500,15
08232-2MA-K0LN1,"MPX1 10W30 SL 0,8L IDE",OLI,,,,40000,12
08232-2MA-K0LN3,"MPX1 10W30 SLMA 0,8L NIP",OLI,,,,40000,12
08232-2MA-K0LN9,"MPX1 10W30 SL 0,8L FED",OLI,,,,40000,12
08232-2MA-K1LN1,MPX1 10W30 SL 1L IDE,OLI,,,,47500,12
08232-2MA-K1LN3,MPX1 10W30 SLMA 1L NIP,OLI,,,,47500,12
08232-2MA-K1LN9,MPX1 10W30 SL 1L FED,OLI,,,,47500,12
08232-2MA-K2LN3,"MPX1 10W30 SLMA 1,2L NIP",OLI,,,,55500,12
08232-2MA-K8LN1,"MPX1 10W30 SL 1,2L IDE",OLI,,,,55500,12
08232-2MA-K8LN9,"MPX1 10W30 SLMA 1,2L FED",OLI,,,,55500,12
08232-2MA-U0JN3,"MPX3 20W40 0,8L NIP",OLI,,,,35000,12
08232-2MA-U1JN3,MPX3 20W40 1L NIP,OLI,,,,39500,12
08232-2MB-K0LN1,"MPX2 10W30 SL 0,8L IDE",OLI,,,,42000,12
08232-2MB-K0LN3,"MPX2 10W30 SLMB 0,8L NIP",OLI,,,,42000,12
08232-2MB-K8LN9,"MPX2 10W30 SLMB 0,8L FED",OLI,,,,42000,12
08294-M99-Z8YN1,SCOOTER GEAR OIL (120ML) IDE,OLI,,,,13000,12
08294-M99-Z8YN9,SCOOTER GEAR OIL (120ML) FED,OLI,,,,13000,12
